"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Nckap5",0,1.30533020158724,0.958,0.507,0,"CM1","Nckap5"
"D830005E20Rik",0,1.16127330152102,0.97,0.55,0,"CM1","D830005E20Rik"
"Sorbs1",0,1.08523853429931,0.978,0.597,0,"CM1","Sorbs1"
"Pde4d",0,1.09143762749399,0.989,0.617,0,"CM1","Pde4d"
"Ank2",0,1.13947934890827,0.984,0.619,0,"CM1","Ank2"
"Mlip",0,1.08562729599925,0.989,0.624,0,"CM1","Mlip"
"Akap6",0,0.975845917235012,0.986,0.622,0,"CM1","Akap6"
"Pde4b",0,0.979680032336377,0.988,0.625,0,"CM1","Pde4b"
"Dip2c",0,0.995792283156429,0.99,0.632,0,"CM1","Dip2c"
"Fgf13",0,1.12376013854085,0.994,0.64,0,"CM1","Fgf13"
"Celf2",0,0.97001787286939,0.993,0.657,0,"CM1","Celf2"
"Rbm20",0,1.05181069851144,0.999,0.684,0,"CM1","Rbm20"
"Camk2d",0,0.917374208367857,0.99,0.688,0,"CM1","Camk2d"
"Dmd",0,1.08606615494531,0.996,0.702,0,"CM1","Dmd"
"Fhod3",0,0.947093361899876,0.996,0.705,0,"CM1","Fhod3"
"Pcdh7",0,0.925683043151317,0.998,0.715,0,"CM1","Pcdh7"
"Ctnna3",0,1.06686203703236,0.999,0.72,0,"CM1","Ctnna3"
"Zbtb20",0,0.93661832454972,0.999,0.724,0,"CM1","Zbtb20"
"Prkg1",0,1.11259408866232,0.996,0.742,0,"CM1","Prkg1"
"Cacna1c",0,1.06107144794818,0.999,0.756,0,"CM1","Cacna1c"
"Cdh2",0,0.912389251803634,0.996,0.756,0,"CM1","Cdh2"
"Palld",0,1.0605684921304,0.998,0.773,0,"CM1","Palld"
"Ldb3",0,0.891679012613988,0.994,0.771,0,"CM1","Ldb3"
"Qk",0,0.874224525468412,0.998,0.812,0,"CM1","Qk"
"Slc8a1",0,1.10504760717891,0.999,0.861,0,"CM1","Slc8a1"
"Ryr2",0,1.13588344558593,1,0.89,0,"CM1","Ryr2"
"Ttn",0,0.798518476948451,1,0.967,0,"CM1","Ttn"
"Malat1",0,0.975900839122152,1,0.985,0,"CM1","Malat1"
"Cacnb2",3.75095710987014e-305,0.936133043828002,0.998,0.655,8.2843638728592e-301,"CM1","Cacnb2"
"Ror1",1.07216772455364e-304,1.07084101848565,0.95,0.542,2.36798963644917e-300,"CM1","Ror1"
"Lrrtm3",1.3013699252574e-299,1.03800660969803,0.951,0.536,2.87420561692349e-295,"CM1","Lrrtm3"
"Zfpm2",4.13040970944634e-299,0.90154555500203,0.997,0.641,9.12242288428319e-295,"CM1","Zfpm2"
"Filip1l",8.15183384553358e-298,1.04683576078869,0.948,0.583,1.80041402312455e-293,"CM1","Filip1l"
"Ablim1",1.8568280121959e-292,0.976124620883173,0.97,0.636,4.10099034773585e-288,"CM1","Ablim1"
"Sox6",2.98543903379655e-292,0.961214576336621,0.978,0.567,6.59364065004306e-288,"CM1","Sox6"
"Mir99ahg",3.57630946779021e-292,0.947670797715498,0.987,0.62,7.89863709056146e-288,"CM1","Mir99ahg"
"Esrrg",6.84220641446012e-292,0.963651748467266,0.983,0.58,1.51116970869766e-287,"CM1","Esrrg"
