,cellName,markerEnsemblIDs,tissueType
1,Activated fibroblast,ENSMUSG00000035783 ENSMUSG00000046841 ENSMUSG00000027750 ENSMUSG00000027750,Heart
2,Arterial endothelial cell,ENSMUSG00000028664,Heart
3,Atrial cell,ENSMUSG00000042284 ENSMUSG00000000555 ENSMUSG00000027111,Heart
4,B cell,ENSMUSG00000003379 ENSMUSG00000003379 ENSMUSG00000003379 ENSMUSG00000034634 ENSMUSG00000024673 ENSMUSG00000026395,Heart
5,Cardiac cell,ENSMUSG00000015627 ENSMUSG00000051747,Heart
6,Cardiac progenitor cell,ENSMUSG00000032338 ENSMUSG00000005672,Heart
7,Cardiomyocyte,ENSMUSG00000031972 ENSMUSG00000068614 ENSMUSG00000068614 ENSMUSG00000068614 ENSMUSG00000052374 ENSMUSG00000022636 ENSMUSG00000029467 ENSMUSG00000029467 ENSMUSG00000062694 ENSMUSG00000028773 ENSMUSG00000050953 ENSMUSG00000050953 ENSMUSG00000050953 ENSMUSG00000057123 ENSMUSG00000038193 ENSMUSG00000018893 ENSMUSG00000040752 ENSMUSG00000040752 ENSMUSG00000040752 ENSMUSG00000059741 ENSMUSG00000041616 ENSMUSG00000041616 ENSMUSG00000021313 ENSMUSG00000021313 ENSMUSG00000032511 ENSMUSG00000091898 ENSMUSG00000035458 ENSMUSG00000035458 ENSMUSG00000026414 ENSMUSG00000026414 ENSMUSG00000026414 ENSMUSG00000026414 ENSMUSG00000026414 ENSMUSG00000026414 ENSMUSG00000026414 ENSMUSG00000051747,Heart
8,Central memory T cell,ENSMUSG00000030156 ENSMUSG00000027985 ENSMUSG00000000782,Heart
9,Cranial mesoderm cell,ENSMUSG00000062432,Heart
10,Cytotoxic T cell,ENSMUSG00000053977 ENSMUSG00000027985 ENSMUSG00000056290,Heart
11,Dendritic cell,ENSMUSG00000031494 ENSMUSG00000042817 ENSMUSG00000042817,Heart
12,Dendritic_like cell,ENSMUSG00000031494 ENSMUSG00000030786,Heart
13,Teff cell,ENSMUSG00000055170 ENSMUSG00000024401 ENSMUSG00000026872,Heart
14,eTreg cell,ENSMUSG00000039521 ENSMUSG00000026770 ENSMUSG00000030114,Heart
15,Endocardial cell,ENSMUSG00000022206,Heart
16,Endothelial cell,ENSMUSG00000035783 ENSMUSG00000017309 ENSMUSG00000016494 ENSMUSG00000031871 ENSMUSG00000031871 ENSMUSG00000031871 ENSMUSG00000022122 ENSMUSG00000026921 ENSMUSG00000024065 ENSMUSG00000054690 ENSMUSG00000024140 ENSMUSG00000062515 ENSMUSG00000029648 ENSMUSG00000022579 ENSMUSG00000062960 ENSMUSG00000062960 ENSMUSG00000032135 ENSMUSG00000030551 ENSMUSG00000020717 ENSMUSG00000020717 ENSMUSG00000020717 ENSMUSG00000020717 ENSMUSG00000020717 ENSMUSG00000020717 ENSMUSG00000025902 ENSMUSG00000027500 ENSMUSG00000006386 ENSMUSG00000027962 ENSMUSG00000001930 ENSMUSG00000001930,Heart
17,Eosinophil,ENSMUSG00000039013,Heart
18,Epithelial cell,ENSMUSG00000032291 ENSMUSG00000027954 ENSMUSG00000015579,Heart
19,Fibroblast,ENSMUSG00000035783 ENSMUSG00000046876 ENSMUSG00000031375 ENSMUSG00000046841 ENSMUSG00000046841 ENSMUSG00000046841 ENSMUSG00000001506 ENSMUSG00000001506 ENSMUSG00000029661 ENSMUSG00000026043 ENSMUSG00000031849 ENSMUSG00000054196 ENSMUSG00000019929 ENSMUSG00000028194 ENSMUSG00000026674 ENSMUSG00000026674 ENSMUSG00000026674 ENSMUSG00000026674 ENSMUSG00000064080 ENSMUSG00000041559 ENSMUSG00000026193 ENSMUSG00000022816 ENSMUSG00000026879 ENSMUSG00000024529 ENSMUSG00000031740 ENSMUSG00000025130 ENSMUSG00000029231 ENSMUSG00000029231 ENSMUSG00000027750 ENSMUSG00000029838 ENSMUSG00000018593 ENSMUSG00000037379 ENSMUSG00000045680 ENSMUSG00000045680 ENSMUSG00000045680 ENSMUSG00000032011 ENSMUSG00000032011 ENSMUSG00000032011 ENSMUSG00000026414 ENSMUSG00000026414 ENSMUSG00000026728,Heart
20,Glial cell,ENSMUSG00000047976 ENSMUSG00000047976 ENSMUSG00000031425 ENSMUSG00000031425 ENSMUSG00000079037 ENSMUSG00000033208,Heart
21,Granulocyte,ENSMUSG00000028859 ENSMUSG00000056054 ENSMUSG00000056071 ENSMUSG00000056071,Heart
22,Immune cell,ENSMUSG00000032094 ENSMUSG00000030786 ENSMUSG00000026395,Heart
23,Infiltrating macrophage,ENSMUSG00000022584 ENSMUSG00000029322,Heart
24,Inflammatory fibroblast,ENSMUSG00000035385 ENSMUSG00000035373 ENSMUSG00000029371,Heart
25,Innate lymphoid cell,ENSMUSG00000015619,Heart
26,M1 macrophage,ENSMUSG00000018774 ENSMUSG00000075122 ENSMUSG00000034855 ENSMUSG00000030786 ENSMUSG00000020826 ENSMUSG00000024401 ENSMUSG00000024401,Heart
27,M1_like macrophage,ENSMUSG00000049103 ENSMUSG00000027398 ENSMUSG00000022584,Heart
