cluster	Art.EC	CM	Endo	Epi	Excluded_QC_or_multiplet	FB	Lymphocyte	Macrophage	SMC_Pericyte	VEC
0	0	5318	0	0	7	0	0	0	0	0
1	191	0	0	6	85	4544	0	0	0	87
2	0	0	0	0	1065	0	0	0	0	3536
3	82	1638	18	34	1852	156	0	0	12	639
4	0	3371	0	0	0	0	0	0	0	0
5	60	6	0	0	0	0	0	0	1807	173
6	136	0	0	0	156	0	0	0	0	1427
7	0	1495	0	2	14	0	0	0	0	0
8	24	0	0	1	3	1288	0	0	0	10
9	27	10	0	0	0	0	0	976	0	78
10	0	0	1018	0	0	0	0	0	0	21
11	0	965	0	0	0	0	0	0	0	0
12	0	0	0	1	175	612	0	0	0	0
13	7	17	5	10	0	8	245	8	1	110
14	0	2	0	329	0	0	0	0	0	9
