track_set	cell_type	condition	cells	peak_matrix_counts	normalization	scale_factor	bin_size	file	cut_sites	bytes	sha256	bigwig_chromosomes
population	CM	P1+3 dpi	3277	43463077	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	46211850.5	10	wang2020_cm_p1_mi_psd3.bw	102929654	453440452	992b05de7f1a1dd8ecb384c50e5c94e01775782d50b37b261c2b99f4bd46367a	22
population	CM	P1+3 dps	3778	48960624	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	46211850.5	10	wang2020_cm_p1_sham_psd3.bw	110821316	469915005	6fc6f43be069857dabc6743c8e30430087afb9656b993f0e8eddbf31a9be0eaa	22
population	CM	P8+3 dpi	2161	29847803	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	46211850.5	10	wang2020_cm_p8_mi_psd3.bw	62711074	303847556	e3b03b9dc51b031b9a440040fad2161ecca244ccbb6e60f9ec590eae700e8322	22
population	CM	P8+3 dps	3606	52239367	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	46211850.5	10	wang2020_cm_p8_sham_psd3.bw	97915120	374420104	30d058c3c6a91520a6dde2c12b48b92c41753da4d52aa587c7a2898753ff521b	22
population	Art.EC	P1+3 dpi	111	1499332	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	1503011.0	10	wang2020_art_ec_p1_mi_psd3.bw	4344076	47437915	857bde0a0e003278147cc05e7695d198d6c07142e828be0128a9751ab5ff94a7	22
population	Art.EC	P1+3 dps	88	1336118	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	1503011.0	10	wang2020_art_ec_p1_sham_psd3.bw	3240690	36622859	3659797345b64bc249d8b36a9baaec0d7fa33addc5106bfbc5b66044ca0832f2	22
population	Art.EC	P8+3 dpi	149	1506690	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	1503011.0	10	wang2020_art_ec_p8_mi_psd3.bw	4400086	48028260	637e46aad3d61126105c49ed63807d46681d1c26a42e4dfcc34836271c4402f6	22
population	Art.EC	P8+3 dps	179	2494235	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	1503011.0	10	wang2020_art_ec_p8_sham_psd3.bw	5555222	54920860	9b4909ebb030ede566728d1f213a068604f8504511f7e0ef6df4259120a0fb1f	22
population	VEC	P1+3 dpi	1086	13755522	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	15889088.5	10	wang2020_vec_p1_mi_psd3.bw	33272880	204351500	a88031499fbe0944baf3796d0970cff3934223125b15f69964d0db03fefa3cec	22
population	VEC	P1+3 dps	1317	17075195	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	15889088.5	10	wang2020_vec_p1_sham_psd3.bw	36748894	207502707	5b59d75afa4a97f71a8ff5c55aaa0cb7ffb632a557044731999803d07ab88875	22
population	VEC	P8+3 dpi	1482	14702982	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	15889088.5	10	wang2020_vec_p8_mi_psd3.bw	34086794	212343243	3b861b55cdca03c1e4669a20cebbb9a578ad3623145d2d4e69f2f4f6b7333151	22
population	VEC	P8+3 dps	2205	24804976	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	15889088.5	10	wang2020_vec_p8_sham_psd3.bw	56859782	307271737	df85ed00ae5b33eb01dbecfc2e9502b654d701cf7f9028e5ec040c274298ed5f	22
population	Endo	P1+3 dpi	365	4813233	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	3255461.5	10	wang2020_endo_p1_mi_psd3.bw	10445550	84223349	47564933bd3e5e81bf2835026d202a9c12dd6ff3bcae834d15e9ee1222a2c3e5	22
population	Endo	P1+3 dps	309	4163320	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	3255461.5	10	wang2020_endo_p1_sham_psd3.bw	8948020	74604388	915c3a6f367abf4e6001f9be440f4469822e9158cc4442cbb5258eaff02d1fea	22
population	Endo	P8+3 dpi	161	1602374	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	3255461.5	10	wang2020_endo_p8_mi_psd3.bw	4055938	43871656	45c3b2499767dd6c38f73b324f3750dcb49358afac177f60840df9074ff800a1	22
population	Endo	P8+3 dps	206	2347603	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	3255461.5	10	wang2020_endo_p8_sham_psd3.bw	5127996	48017902	bb50deeaaab18f9a3a690e4400b714136ab9f275158d0087814854f8fa6aac7a	22
